rank,feature_name,feature_kind,review_score
57,tau_droplet_vs_filament_pattern_bias,vlm,5
58,droplet_number,code,5
59,tau_soma_inclusion_complexity_score,vlm,5
60,tau_nuclear_enrichment_zscore,code,5
61,tau_filament_alignment_with_cell_axis,code,5
62,tau_droplet_size_tail_heaviness,code,5
63,tau_cellwide_radial_aggregation_gradient,code,5
64,tau_droplet_cytoplasmic_enrichment_score,code,2
65,tau_droplet_soma_area_fraction,code,2
66,perinuclear_tau_droplet_enrichment_index,code,5
67,tau_extranuclear_droplet_fraction,code,2
68,tau_intracellular_vs_extracellular_droplet_fraction,code,2
69,tau_droplet_soma_proximity_fraction,code,5
70,droplet_tau_granularity_balance,code,4
71,tau_filament_alignment_entropy,code,5
72,bundle_compactness_in_cell,vlm,5
73,tau_filament_alignment_consistency,code,5
74,tau_droplet_compactness_index,code,5
75,tau_radial_enrichment_toward_cell_center,code,5
76,tau_pathology_morphotype_score,vlm,4
77,tau_cell_peripheral_enrichment_index,code,5
78,tau_cell_edge_to_center_intensity_ratio,code,5
79,tau_droplet_nuclear_proximity_enrichment,code,5
80,tau_texture_contrast_inside_vs_outside_nucleus,code,5
81,tau_droplet_edge_enrichment_ratio,code,5
82,tau_neurite_radial_decay_consistency,code,5
83,tau_filament_orientation_dispersion,code,5
84,tau_intensity_gradient_along_principal_filament,code,5
85,tau_filament_linear_anisotropy,code,5
86,tau_peripheral_enrichment,code,5
87,soma_to_extracellular_tau_intensity_shift,code,5
88,tau_nuclear_exclusion_ratio,code,5
89,tau_peripheral_enrichment_index,code,5
90,tau_filament_directional_coherence,code,5
91,tau_filament_beading_score,code,5
92,tau_intensity_cell_to_nucleus_ratio,code,5
93,tau_cell_body_enrichment_ratio,code,5
94,tau_cellwide_granularity_multiscale_entropy,code,5
95,tau_droplet_enrichment_index,code,5
96,tau_punctate_pattern_along_processes,vlm,5
97,tau_cell_internal_intensity_coefficient_of_variation,code,5
98,tau_cell_level_intensity_heterogeneity,code,5
99,tau_cellwide_multiscale_granularity_ratio,code,5
100,cell_tau_compartmental_polarization_index,code,5
101,tau_background_corrected_cell_intensity_cv,code,5
102,tau_cytoplasmic_granularity_multi_scale,code,5
103,tau_pathology_stage_score,vlm,4
104,tau_filament_end_to_end_alignment_score,code,5
105,tau_filament_alignment_score,code,5
106,tau_droplet_vs_fibril_morphology_bias,vlm,5
107,tau_soma_vs_neurite_intensity_balance,code,5
108,tau_peripheral_to_central_cell_intensity_ratio,code,5
109,tau_soma_vs_process_fractal_dimension,code,5
110,tau_droplet_median_eccentricity,code,5
111,tau_intranuclear_enrichment_zscore,code,5
112,tau_filament_curvature_mean,code,5
113,tau_cell_interior_vs_periphery_intensity_gradient,code,5
114,tau_peripheral_ring_heterogeneity_score,code,5
115,soma_tau_heterogeneity_index,code,5
116,tau_cytoplasmic_heterogeneity_in_cell_mask,code,5
117,tau_intensity_cv_within_cell_mask,code,5
118,tau_soma_to_periphery_intensity_ratio,code,5
119,tau_cell_compartmental_redistribution_score,code,5
120,tau_distal_filament_cluster_asymmetry,code,5
121,tau_intensity_skewness_in_droplets,code,5
122,tau_pattern_pathology_grade,vlm,4
123,tau_cell_edge_to_center_gradient,code,5
124,tau_soma_boundary_enrichment_index,code,5
125,tau_radial_variogram_slope,code,5
126,tau_peripheral_ring_enrichment,code,5
127,tau_pattern_smooth_vs_beaded_score,vlm,5
128,tau_filament_linear_alignment_score,code,5
129,radial_tau_gradient_from_nucleus_to_cell_edge,code,5
130,tau_beaded_neurite_severity,vlm,5
131,beaded_vs_smooth_filament_pattern_score,vlm,5
132,tau_intranuclear_invasion_fraction,code,5
133,nuclear_to_cytoplasmic_tau_intensity_ratio,code,5
134,intranuclear_tau_invasion_index,code,5
135,nuclear_to_cytoplasmic_tau_ratio,code,5
136,tau_nuclear_enrichment_ratio,code,5
137,tau_soma_vs_extranuclear_intensity_ratio,code,5
138,nuclear_tau_intrusion_score,vlm,5
139,tau_nucleus_to_cytoplasm_intensity_shift,code,5
140,tau_nuclear_enrichment_index,code,5
141,tau_droplet_maturity_score,vlm,5
142,tau_beaded_filament_pattern_score,vlm,5
143,tau_pattern_pathology_score,vlm,4
144,tau_filament_alignment_anisotropy_in_cell,code,5
145,tau_soma_to_neurite_intensity_ratio,code,5
146,tau_soma_to_neurite_intensity_imbalance,code,5
147,tau_high_intensity_cluster_count,code,5
148,tau_soma_vs_process_visual_severity,vlm,5
149,tau_inclusion_maturity_score,vlm,5
150,peri_nuclear_tau_ring_enhancement,code,5
151,tau_nucleus_periphery_enrichment_index,code,5
152,perinuclear_tau_enrichment_index,code,5
153,tau_nuclear_peripheral_shell_enrichment,code,5
154,nuclear_adjacent_tau_enrichment_ratio,code,5
155,tau_perinuclear_ring_intensity_contrast,code,5
156,tau_nuclear_boundary_accumulation_score,code,5
157,tau_nuclear_ring_enrichment,code,5
158,perinuclear_tau_ring_completeness_score,vlm,5
159,nuclear_peri_tau_enrichment_index,code,5
160,perinuclear_tau_ring_intensity_ratio,code,5
161,reticular_perinuclear_tau_accumulation,vlm,5
162,tau_cytoplasm_to_neurite_intensity_ratio,code,5
163,tau_nuclear_peripheral_enrichment_ratio,code,5
164,tau_perinuclear_intensity_enrichment,code,5
165,tau_intra_neurite_beading_index,code,5
166,tau_beaded_neurite_prevalence,vlm,5
167,tau_cell_body_compaction_index,code,5
168,tau_subcellular_distribution_pattern_score,vlm,4
169,tau_extracellular_like_fraction,code,5
170,tau_soma_granularity_entropy,code,5
171,tau_droplet_radial_distribution_from_cell_center,code,5
172,tau_droplet_to_fibril_transition_likelihood,vlm,5
173,tau_beaded_filament_severity_score,vlm,5
174,tau_filament_beading_visual_score,vlm,5
175,tau_pathology_stage_estimate,vlm,4
176,tau_cytoplasm_enriched_cluster_fraction,code,5
177,tau_soma_hotspot_fraction,code,5
178,tau_cellwide_radial_heterogeneity,code,5
179,tau_pattern_stage_score,vlm,4
180,tau_extranuclear_ghost_like_fraction,code,5
181,single_filament_bundle_ratio,code,5
182,tau_soma_inclusion_maturity_score,vlm,5
183,soma_tau_texture_homogeneity,code,5
184,tau_aggregation_morphology_complexity,vlm,5
185,tau_nuclear_exclusion_score,code,5
186,tau_inside_vs_outside_cell_ghost_fraction,code,5
187,tau_bundle_complex_network_score,vlm,5
188,tau_morphology_stage_score,vlm,5
189,per_cell_tau_spatial_gini_index,code,5
190,tau_droplet_vs_filament_dominance,vlm,5
191,tau_nuclear_to_cytoplasmic_intensity_contrast,code,5
192,tau_pathological_morphology_score,vlm,5
193,tau_extracellular_aggregate_fraction,code,5
194,tau_neurite_pearling_index,code,5
195,tau_soma_texture_anisotropy,code,5
196,tau_filament_alignment_index_inside_cell,code,5
197,tau_perinuclear_enrichment_score,code,5
198,tau_radial_redistribution_index,code,5
199,tau_aggregation_stage_estimate,vlm,5
200,tau_intra_cell_intensity_gini,code,5
201,tau_intra_cellular_heterogeneity_gini,code,5
202,tau_cell_edge_enrichment_score,code,5
203,tau_cell_edge_enrichment_index,code,5
204,tau_pathology_severity_visual_score,vlm,4
205,tau_droplet_maturity_assessment,vlm,5
206,intracellular_tau_polarity_relative_to_nucleus,code,5
207,tau_nuclear_peripheral_enrichment,code,5
208,tau_intra_cell_intensity_heterogeneity,code,5
209,tau_pattern_soma_vs_neurite_pathology_score,vlm,5
210,tau_intranuclear_to_perinuclear_intensity_ratio,code,5
211,tau_nucleus_to_cytoplasm_leakage_index,code,5
212,tau_intra_cellular_radial_heterogeneity,code,5
213,tau_intranuclear_signal_enrichment,code,5
214,tau_cellwide_granularity_entropy,code,5
215,global_tau_pathology_severity_estimate,vlm,4
216,tau_filament_local_beading_score,code,5
217,tau_pattern_normal_vs_pathological_score,vlm,4
218,tau_cell_polarization_asymmetry,code,5
219,tau_pathology_stage_visual_score,vlm,5
220,tau_cell_body_pathology_index,code,5
221,tau_cellwide_intensity_fractal_dimension,code,5
222,tau_cellwide_structure_tensor_anisotropy,code,5
223,tau_morphology_progression_score,vlm,3
224,tau_morphology_pathology_score,vlm,4
225,tau_cell_polarization_score,code,5
226,tau_cell_polarization_moment,code,5
227,cell_level_tau_polarity_score,code,5
228,axon_like_filament_length_to_cell_diameter_ratio,code,5
229,tau_mislocalization_severity_score,vlm,5
230,tau_droplet_morphology_complexity,vlm,5
231,tau_axon_dominance_visual_index,vlm,5
232,tau_aggregate_maturity_visual_score,vlm,5
233,tau_soma_aggregation_severity_score,vlm,5
234,tau_neurite_beading_index,code,5
235,tau_distribution_pattern_score_soma_vs_processes,vlm,5
236,tau_subcellular_mislocalization_score,vlm,5
237,tau_axon_dominance_score,vlm,5
238,tau_pattern_soma_beaded_vs_diffuse_score,vlm,5
239,tau_nucleus_peripheral_enrichment_score,code,5
240,tau_soma_granularity_spectrum_ratio,code,5
241,dendritic_tau_beading_severity,vlm,5
242,tau_soma_aggregate_complexity_index,vlm,5
243,tau_axon_vs_dendrite_pattern_score,vlm,5
244,tau_ghost_tangle_likelihood,vlm,5
245,bundle_sparseness_along_the_skeleton,vlm,5
246,tau_pathology_pattern_severity_score,vlm,4
247,tau_pathology_morphology_severity_score,vlm,4
248,tau_aggregation_stage_score,vlm,5
249,tau_intranuclear_puncta_intensity_fraction,code,5
250,tau_nucleus_to_cell_edge_distance_weighted_intensity,code,5
251,axon_like_tau_skeleton_fragmentation_index,code,5
252,tau_filament_fragmentation_index,code,5
253,tau_cellwide_granularity_multiscale_index,code,5
254,tau_cell_body_vs_total_intensity_fraction,code,5
255,cytoplasmic_tau_granularity_at_droplet_scale,code,5
256,tau_extranuclear_nucleus_overlap_fraction,code,5
257,tau_intensity_of_a_single_filament,code,5
258,tau_multiscale_laplacian_peak_density,code,5
259,tau_extranuclear_fraction_in_cell,code,5
260,tau_extranuclear_fraction,code,5
261,tau_intranuclear_leakage_fraction,code,5
262,intranuclear_tau_fraction,code,5
263,tau_intranuclear_infiltration_fraction,code,5
264,cellwide_tau_granularity_high_frequency_fraction,code,5
265,tau_beaded_neurite_fraction_visual,vlm,5
266,tau_droplet_fraction_of_cell_tau,code,5
267,tau_soma_to_cell_intensity_ratio,code,5
268,tau_cell_body_to_neurite_intensity_ratio,code,5
269,tau_droplet_somatic_occupancy_fraction,code,5
270,tau_droplet_area_fraction_in_cell,code,5
271,normalized_tau_droplet_area_fraction,code,5
272,tau_droplet_burden_per_cell_area,code,5
273,tau_droplet_load_per_cell_area,code,5
274,tau_droplet_coverage_in_cell,code,5
275,tau_droplet_cell_relative_area,code,5
276,tau_intranuclear_hotspot_fraction,code,5
277,tau_intracellular_granularity_at_multiple_scales,code,5
278,tau_droplet_nuclear_proximity_index,code,5
279,tau_cytoplasmic_texture_coarseness,code,5
280,tau_axon_guard_fraction,code,5
281,soma_tau_texture_heterogeneity,code,5
282,tau_droplet_fragmentation_index,code,5
283,tau_texture_granularity_in_droplet_free_cytoplasm,code,5
284,axon_like_tau_gradient_strength,code,5
285,tau_background_cytoplasmic_granularity_scale2,code,5
286,tau_soma_texture_coarseness,code,5
287,tau_intracellular_granularity_multiscale,code,5
288,droplet_tau_fraction_and_clumpiness,code,5
289,tau_cellwide_granularity_lowpass_minus_highpass,code,5
290,nuclear_to_cytoplasmic_tau_intensity_gradient,code,5
291,tau_peripheral_filament_density_gradient,code,5
292,tau_filament_length_density_in_cell,code,5
293,tau_bundle_soma_coverage_ratio,code,5
294,tau_subcellular_radial_variance,code,5
295,axon_like_filament_length_density,code,5
296,tau_filament_linear_density_within_cell,code,5
297,tau_filament_length_per_cell_area,code,5
298,tau_filament_skeleton_length_per_cell,code,5
299,tau_filament_endpoints_per_cell_area,code,5
300,tau_droplet_density_per_cell_area,code,5
301,tau_droplet_count_per_cell_area,code,5
